terminal,time,cpu,memory
terminator,01.19,117,56460
terminator,01.18,116,56296
terminator,01.18,117,56340
terminator,01.18,117,56964
terminator,01.18,117,56132
terminator,01.18,117,56732
terminator,01.19,117,56616
terminator,01.18,116,56940
terminator,01.18,117,56332
terminator,01.17,117,56596
terminator,01.19,116,56696
terminator,01.18,117,56592
terminator,01.18,116,56472
terminator,01.17,117,56900
terminator,01.16,118,56692
terminator,01.17,117,56840
terminator,01.17,117,56764
terminator,01.18,118,56384
terminator,01.17,117,56672
terminator,01.18,117,56708
terminator,01.17,117,56504
terminator,01.17,117,56596
terminator,01.16,118,56400
terminator,01.18,117,56520
terminator,01.18,117,56948
terminator,01.19,117,56780
terminator,01.18,117,56384
terminator,01.17,118,56608
terminator,01.17,117,56508
terminator,01.18,116,56828
terminator,01.18,117,56816
terminator,01.19,117,56868
terminator,01.18,116,56660
terminator,01.17,117,56520
terminator,01.17,117,56468
terminator,01.17,117,56536
terminator,01.17,118,56460
terminator,01.18,117,56796
terminator,01.18,117,56540
terminator,01.17,117,56860
terminator,01.18,117,56808
terminator,01.16,117,57144
terminator,01.18,117,56828
terminator,01.18,116,56664
terminator,01.18,116,56796
terminator,01.17,117,56364
terminator,01.19,116,56560
terminator,01.17,118,56436
terminator,01.20,116,56488
terminator,01.19,119,56744
terminator,01.19,116,56828
terminator,01.19,117,56884
terminator,01.18,117,56460
terminator,01.17,116,57048
terminator,01.19,116,56688
terminator,01.18,117,56552
terminator,01.19,117,56596
terminator,01.18,117,56248
terminator,01.18,116,56692
terminator,01.18,118,56940
terminator,01.18,117,56564
terminator,01.18,116,56416
terminator,01.17,118,56848
terminator,01.19,116,56872
terminator,01.17,118,56496
terminator,01.17,118,56620
terminator,01.17,118,56264
terminator,01.18,117,56716
terminator,01.20,119,56144
terminator,01.17,117,56340
terminator,01.18,117,57084
terminator,01.18,116,56308
terminator,01.18,118,56292
terminator,01.17,117,56444
terminator,01.18,116,56584
terminator,01.19,117,56792
terminator,01.17,117,56704
terminator,01.20,116,56848
terminator,01.18,117,56572
terminator,01.17,117,56408
terminator,01.18,116,56884
terminator,01.18,118,56584
terminator,01.18,117,56320
terminator,01.18,116,56812
terminator,01.18,117,56416
terminator,01.17,117,56768
uxterm,01.28,124,12332
uxterm,01.34,122,12044
uxterm,01.31,122,12352
uxterm,01.28,123,12356
uxterm,01.29,123,12140
uxterm,01.27,124,12208
uxterm,01.28,123,12116
uxterm,01.31,121,12140
uxterm,01.27,123,12108
uxterm,01.29,122,12124
uxterm,01.28,122,12020
uxterm,01.28,123,12332
uxterm,01.27,125,12172
uxterm,01.26,125,12120
uxterm,01.27,124,12100
uxterm,01.29,123,12160
uxterm,01.28,124,12136
uxterm,01.26,125,12124
uxterm,01.27,122,12212
uxterm,01.28,122,12192
uxterm,01.29,124,12124
uxterm,01.30,123,12188
uxterm,01.27,124,12044
uxterm,01.30,122,12060
uxterm,01.30,123,12120
uxterm,01.26,125,12104
uxterm,01.31,123,12172
uxterm,01.30,123,12036
uxterm,01.25,125,12312
uxterm,01.27,124,12192
uxterm,01.30,124,12200
uxterm,01.27,124,12060
uxterm,01.29,123,12092
uxterm,01.29,123,12140
uxterm,01.25,126,12084
uxterm,01.25,123,12160
uxterm,01.27,124,12120
uxterm,01.29,123,12160
uxterm,01.29,124,12076
uxterm,01.29,123,12188
uxterm,01.34,120,12148
uxterm,01.27,123,12204
uxterm,01.29,123,12060
uxterm,01.30,123,12076
uxterm,01.27,124,12132
uxterm,01.27,123,12208
uxterm,01.28,123,12356
uxterm,01.31,122,12088
uxterm,01.25,124,12336
uxterm,01.28,123,12080
uxterm,01.32,121,12092
uxterm,01.26,126,12176
uxterm,01.27,123,12100
uxterm,01.30,122,12076
uxterm,01.29,122,12052
uxterm,01.29,123,12204
uxterm,01.27,124,12068
uxterm,01.26,124,12088
uxterm,01.28,126,12344
uxterm,01.30,124,12184
uxterm,01.28,123,12224
uxterm,01.29,124,12096
uxterm,01.25,126,12120
uxterm,01.26,124,12196
uxterm,01.28,122,12108
uxterm,01.28,124,12104
uxterm,01.27,125,12360
uxterm,01.28,125,12068
uxterm,01.25,125,12196
uxterm,01.30,122,12212
uxterm,01.26,125,12348
uxterm,01.27,124,12040
uxterm,01.27,122,12120
uxterm,01.27,125,12068
uxterm,01.28,124,12148
uxterm,01.30,121,12340
uxterm,01.28,124,12168
uxterm,01.34,119,12224
uxterm,01.26,125,12152
uxterm,01.28,123,12140
uxterm,01.28,122,12176
uxterm,01.31,123,12148
uxterm,01.27,125,12120
uxterm,01.29,123,12072
uxterm,01.26,123,12152
uxterm,01.29,123,12124
uxterm,01.27,124,12148
uxterm,01.28,123,12072
uxterm,01.33,123,12060
uxterm,01.31,121,12064
uxterm,01.30,124,12112
uxterm,01.29,124,12176
uxterm,01.29,123,12024
uxterm,01.27,125,12028
uxterm,01.26,124,12096
uxterm,01.27,124,12060
uxterm,01.28,124,12080
uxterm,01.27,124,12060
uxterm,01.26,125,12096
uxterm,01.31,122,12156
xfce4-terminal,00.96,121,40192
xfce4-terminal,00.99,120,40208
xfce4-terminal,01.00,122,39744
xfce4-terminal,00.98,121,40300
xfce4-terminal,00.98,121,40544
xfce4-terminal,00.98,120,40156
xfce4-terminal,00.99,121,40240
xfce4-terminal,00.99,121,39812
xfce4-terminal,00.98,121,40628
xfce4-terminal,00.97,120,40584
xfce4-terminal,00.99,120,40184
xfce4-terminal,00.97,120,40656
xfce4-terminal,00.98,120,40308
xfce4-terminal,00.97,120,40200
xfce4-terminal,00.98,121,39692
xfce4-terminal,00.98,121,40572
xfce4-terminal,00.98,119,40552
xfce4-terminal,00.96,121,40368
xfce4-terminal,00.99,120,40420
xfce4-terminal,00.98,121,40216
xfce4-terminal,00.98,121,40088
xfce4-terminal,00.99,120,40128
xfce4-terminal,00.97,120,40532
xfce4-terminal,00.99,120,40132
xfce4-terminal,00.97,122,40472
xfce4-terminal,00.98,120,40516
xfce4-terminal,00.96,121,40540
xfce4-terminal,01.00,119,40120
xfce4-terminal,00.98,121,40488
xfce4-terminal,00.98,122,40368
xfce4-terminal,00.99,119,40752
xfce4-terminal,00.99,120,40680
xfce4-terminal,00.98,121,40668
xfce4-terminal,00.99,121,40636
xfce4-terminal,00.99,120,40244
xfce4-terminal,00.98,121,40152
xfce4-terminal,00.98,121,40272
xfce4-terminal,00.99,120,40536
xfce4-terminal,00.98,121,39748
xfce4-terminal,00.98,121,40256
xfce4-terminal,00.98,121,40124
xfce4-terminal,00.98,122,40124
xfce4-terminal,00.99,122,40504
xfce4-terminal,00.98,120,40232
xfce4-terminal,00.99,121,40636
xfce4-terminal,00.97,121,40500
xfce4-terminal,00.97,121,40416
xfce4-terminal,00.99,121,40092
xfce4-terminal,00.98,121,40388
xfce4-terminal,00.99,120,40368
xfce4-terminal,00.98,121,40376
xfce4-terminal,00.99,122,40468
xfce4-terminal,00.99,121,40308
xfce4-terminal,00.99,121,40172
xfce4-terminal,00.99,120,40480
xfce4-terminal,00.99,120,40416
xfce4-terminal,00.98,120,40728
xfce4-terminal,00.99,120,40452
xfce4-terminal,00.99,121,40544
xfce4-terminal,00.99,120,40232
xfce4-terminal,00.97,120,40568
xfce4-terminal,00.97,121,40604
xfce4-terminal,00.99,120,40536
xfce4-terminal,00.98,121,40464
xfce4-terminal,00.99,120,40332
xfce4-terminal,00.97,122,40256
xfce4-terminal,00.98,120,40192
xfce4-terminal,00.98,122,40540
xfce4-terminal,00.97,121,40448
xfce4-terminal,00.98,120,40404
xfce4-terminal,00.98,121,40200
xfce4-terminal,00.98,121,40416
xfce4-terminal,00.98,121,40572
xfce4-terminal,00.97,121,40456
xfce4-terminal,00.99,121,40240
xfce4-terminal,01.00,121,39772
xfce4-terminal,00.98,120,40276
xfce4-terminal,00.98,120,40388
xfce4-terminal,00.99,121,40276
xfce4-terminal,00.98,121,40172
xfce4-terminal,00.99,120,40692
xfce4-terminal,00.99,120,40196
xfce4-terminal,00.99,120,40108
xfce4-terminal,00.99,121,40516
xfce4-terminal,01.00,120,40644
xfce4-terminal,00.97,121,40276
xfce4-terminal,00.99,120,40372
xfce4-terminal,00.98,121,39840
xfce4-terminal,00.97,120,40240
xfce4-terminal,00.97,121,40216
xfce4-terminal,00.97,121,40308
xfce4-terminal,00.98,121,40264
xfce4-terminal,00.97,119,40308
xfce4-terminal,00.97,121,40584
xfce4-terminal,00.98,121,40504
xfce4-terminal,00.99,121,40568
xfce4-terminal,01.00,120,40400
xfce4-terminal,00.99,121,40620
xfce4-terminal,00.98,121,40544
xfce4-terminal,00.99,120,40252
mlterm,01.36,124,11076
mlterm,01.39,123,11044
mlterm,01.38,124,11116
mlterm,01.39,123,11028
mlterm,01.36,124,10904
mlterm,01.35,124,11072
mlterm,01.38,123,10892
mlterm,01.39,123,10932
mlterm,01.38,123,10884
