"gnome-terminal",konsole,mlterm,pterm,st,terminator,urxvt,"xfce4-terminal",uxterm,terminology
45.21,28.65,12.76,46.38,30.77,46.79,46.38,45.95,33.63,45.87
47.29,30.72,15.29,45.20,24.29,46.23,48.01,44.91,30.40,45.72
46.53,29.31,12.92,33.88,33.97,46.69,45.76,46.81,28.31,46.70
45.74,28.87,12.64,43.24,29.43,46.56,47.03,47.00,30.02,47.35
45.79,29.83,27.55,46.79,31.03,44.97,44.10,47.49,31.49,46.18
46.35,27.14,13.41,45.42,27.86,46.49,45.95,46.39,27.43,45.98
46.81,32.82,13.57,34.25,29.98,47.70,45.42,45.74,29.80,47.69
46.61,27.95,12.44,42.87,29.39,45.94,47.15,46.60,31.22,45.82
46.04,31.02,10.50,46.11,30.63,46.43,32.95,46.92,30.60,44.61
45.89,30.14,17.43,45.97,30.97,45.08,43.65,46.73,28.36,47.78
48.02,30.20,26.14,32.60,29.07,47.57,46.44,45.38,29.34,47.36
46.10,28.47,13.28,44.63,29.36,45.71,47.02,46.76,29.55,44.75
45.49,31.23,12.80,44.58,30.95,46.15,33.21,46.40,30.41,47.03
47.12,32.81,10.53,32.96,23.63,46.88,43.86,46.67,30.08,46.82
45.64,29.89,16.49,43.95,34.96,45.32,32.55,47.12,30.35,47.17
46.74,29.58,27.47,31.08,29.87,47.36,44.35,46.48,28.33,45.73
47.76,28.74,12.54,45.56,32.43,46.29,46.17,45.64,31.89,32.97
45.61,29.23,14.56,45.66,40.74,46.92,45.70,46.03,28.95,29.76
46.77,31.19,10.77,33.08,33.46,45.94,47.13,45.94,30.16,44.12
45.95,27.92,10.11,43.85,31.14,46.18,31.16,47.79,28.84,31.50
45.08,29.81,14.18,46.58,29.29,46.74,44.66,46.05,30.78,31.02
46.81,29.81,14.74,46.65,26.42,47.18,31.82,46.37,28.89,29.84
46.23,31.22,12.62,45.94,31.69,46.79,44.25,45.99,29.43,44.02
46.52,28.02,12.94,47.48,31.04,45.61,33.05,47.48,31.80,31.59
46.04,32.01,13.16,45.31,30.82,47.17,43.93,45.12,29.94,43.00
46.51,29.20,12.66,47.62,29.63,47.37,46.81,46.38,30.49,47.40
45.96,28.69,14.93,45.70,29.14,46.44,46.45,46.41,28.94,45.41
47.34,30.12,12.01,32.91,28.20,46.38,32.85,46.46,30.37,32.79
46.49,29.27,29.96,44.37,27.97,46.02,43.49,46.75,28.62,43.76
45.24,31.49,28.76,32.01,28.90,46.59,46.32,46.19,25.58,32.19
48.09,30.00,27.92,44.69,31.97,46.92,46.26,46.98,16.39,43.75
45.74,29.54,16.38,44.71,29.48,46.78,46.88,47.32,32.46,32.45
37.16,27.73,8.20,33.66,34.15,36.39,45.52,37.45,19.93,44.68
38.28,31.49,20.23,42.21,27.61,42.29,46.16,40.45,28.80,32.83
45.85,29.96,24.21,32.94,32.21,44.95,36.57,44.63,28.84,30.67
46.01,28.04,18.02,42.02,29.36,46.97,42.06,46.49,28.38,44.05
46.66,31.62,28.28,45.89,25.50,48.28,45.15,47.19,27.60,35.17
46.61,28.87,28.44,46.77,32.76,47.16,46.36,46.25,13.26,42.62
44.64,29.26,13.45,44.46,27.80,45.07,50.70,46.31,14.43,45.50
46.63,30.41,12.60,32.98,34.36,47.18,41.80,47.46,14.97,45.77
45.78,28.99,12.70,44.99,27.45,47.03,47.63,45.68,11.93,32.85
46.56,30.06,12.38,45.19,30.40,45.69,45.10,45.91,35.03,44.50
46.64,31.99,14.78,46.93,28.64,47.34,47.03,46.77,27.56,44.53
44.93,28.15,12.68,46.76,31.76,44.71,47.13,47.44,32.52,34.22
46.34,31.82,29.66,46.43,24.91,47.66,45.40,46.10,28.43,41.91
47.75,27.49,28.45,33.77,33.23,46.80,32.95,47.57,29.36,45.92
45.80,30.01,15.57,42.79,28.95,45.73,42.86,44.95,26.24,33.91
46.03,29.54,27.10,45.40,29.34,46.76,46.58,46.34,33.39,44.36
47.57,30.64,28.58,46.89,29.85,46.53,46.26,47.38,31.07,45.66
46.98,28.32,13.09,45.73,29.92,45.42,48.07,46.20,30.56,46.86
46.31,30.20,12.21,33.16,29.50,47.26,46.01,46.94,28.76,45.66
47.10,29.86,13.30,43.24,26.68,46.00,47.23,45.99,28.70,46.00
46.00,30.08,30.90,45.79,28.69,47.07,33.16,45.77,30.98,47.30
44.99,29.65,27.00,33.41,34.32,45.94,43.60,47.12,30.92,46.02
46.12,30.05,12.69,43.52,30.14,47.19,29.68,46.17,28.77,45.47
45.88,30.42,13.39,29.58,26.55,46.83,47.26,47.06,28.38,46.22
47.31,28.84,13.48,46.39,31.57,46.48,46.32,45.53,29.51,47.05
45.66,28.14,10.18,46.96,29.42,46.77,46.19,45.89,29.66,45.61
46.75,27.35,15.06,45.58,29.06,46.62,46.04,46.27,31.18,47.97
46.10,29.06,13.25,32.62,29.46,45.74,49.08,47.00,30.17,46.70
45.68,34.14,12.89,43.83,27.72,45.68,43.16,46.20,30.23,45.29
47.02,29.33,12.67,45.75,31.97,47.41,33.21,47.56,25.15,47.16
47.29,28.66,14.79,46.32,27.05,47.11,44.09,46.98,31.80,46.23
46.42,30.74,13.04,33.83,28.54,47.51,46.11,46.61,30.47,46.35
44.07,26.68,28.92,43.51,26.94,46.47,45.99,45.59,29.49,46.21
45.48,34.26,28.10,45.26,34.12,46.28,44.59,47.90,28.90,46.37
47.25,29.66,12.89,33.46,29.35,46.06,46.92,45.65,23.61,47.08
47.12,29.76,10.09,43.86,29.33,46.48,45.66,44.37,37.59,46.39
47.02,29.32,17.28,46.02,24.48,46.22,32.94,46.61,28.38,46.00
45.78,27.94,10.92,45.92,34.52,45.22,43.68,47.33,29.37,47.61
46.43,29.38,16.03,33.09,45.79,47.42,45.29,46.88,28.85,46.43
45.83,30.91,24.94,44.39,45.38,46.94,45.55,47.13,30.39,45.96
46.63,27.70,17.38,46.41,46.11,46.82,46.13,44.84,28.25,46.86
46.88,32.63,27.07,45.79,31.86,46.33,47.01,47.20,30.74,47.46
46.71,28.06,12.75,46.08,29.55,46.75,47.27,45.55,28.21,45.45
47.92,31.36,14.30,32.66,31.81,47.09,45.53,47.84,30.30,46.79
46.94,27.95,28.71,44.83,28.68,45.54,46.58,45.69,30.78,46.22
45.11,29.96,13.21,46.68,31.63,46.78,46.21,46.77,30.84,46.88
48.24,31.23,12.90,32.78,27.33,46.11,46.91,47.47,28.37,44.84
45.39,28.51,28.50,44.28,33.47,47.22,46.48,45.84,29.59,46.76
45.97,29.37,29.97,33.00,31.63,44.08,47.02,46.55,30.55,45.43
47.11,30.43,30.43,43.89,26.41,47.34,44.97,47.16,29.46,46.17
46.64,31.14,26.84,44.05,31.55,46.38,46.93,45.80,30.93,47.38
45.06,28.50,14.67,33.53,31.55,47.39,46.90,47.34,28.65,47.03
46.80,32.15,12.69,44.10,26.86,44.94,31.96,45.38,28.16,47.24
46.44,27.86,12.81,33.05,31.30,45.31,44.50,47.39,32.98,45.63
47.62,31.89,13.13,42.69,30.65,45.46,45.41,46.69,29.13,46.28
35.14,29.44,8.63,33.57,32.19,37.61,44.54,35.16,18.23,44.35
