xterm,mlterm,kterm,mrxvt,xvt,konsole,urxvt,st,alacritty,putty,"xfce4","gnome",terminator
12.39,14.58,4.57,5.90,11.21,14.99,22.37,23.13,15.91,31.28,34.98,28.36,37.38
13.70,7.01,14.76,6.73,13.34,14.56,24.66,24.33,30.52,27.70,31.56,33.41,31.28
13.26,4.87,13.53,7.14,13.66,14.35,22.30,26.11,23.64,29.25,32.45,34.14,31.45
7.77,4.88,5.81,18.35,12.28,17.26,23.94,23.52,10.66,26.97,32.79,28.26,33.14
4.78,10.15,7.34,18.79,20.51,14.26,23.47,21.96,16.36,28.09,32.76,33.63,32.19
13.38,5.61,4.82,12.95,11.97,14.45,26.99,25.90,24.45,29.62,33.60,32.82,32.77
4.67,13.74,13.05,13.83,13.07,16.04,20.98,24.30,15.94,29.94,33.14,30.94,33.10
5.30,15.24,14.03,17.75,13.03,16.59,24.00,23.74,21.82,28.34,31.16,32.94,30.81
12.78,12.36,13.43,6.53,19.13,17.73,24.72,22.05,31.04,25.28,29.50,36.07,34.34
7.51,7.19,14.60,18.93,7.87,15.16,23.66,23.27,27.34,24.75,34.08,34.92,31.55
14.53,13.56,6.46,18.64,12.48,13.75,23.40,25.64,26.95,27.62,32.42,35.43,31.93
7.60,13.37,2.21,12.92,17.06,16.47,23.74,21.20,24.38,28.05,31.34,32.64,32.14
5.09,5.65,13.98,15.88,12.84,23.56,20.76,22.54,16.31,29.72,29.44,32.81,32.36
8.53,4.75,14.38,13.53,18.31,24.29,25.61,24.16,26.02,28.29,30.36,32.45,32.50
12.40,4.96,12.31,9.19,10.45,16.60,23.21,24.05,30.86,25.82,33.23,30.38,32.20
12.22,5.21,14.17,19.65,19.02,16.75,23.07,23.48,26.05,30.03,29.02,31.44,34.05
4.81,4.29,4.91,20.97,11.48,14.44,23.84,21.82,30.04,28.61,29.31,30.86,32.18
7.87,5.01,5.30,14.00,11.06,22.80,23.67,25.71,27.71,28.92,31.41,30.64,34.17
4.47,5.58,4.76,18.25,9.64,25.72,21.09,22.55,23.53,29.17,33.20,31.36,33.27
12.99,4.30,14.24,12.49,18.58,16.91,24.39,24.20,11.32,29.84,30.84,30.46,34.25
14.26,4.88,13.43,6.77,17.91,20.30,23.70,22.61,10.24,29.54,32.02,33.08,32.85
13.20,6.41,13.82,12.71,19.79,15.90,23.75,26.26,27.53,29.94,30.67,33.59,32.37
13.18,10.41,4.99,13.02,12.44,17.55,25.25,23.57,28.62,30.54,31.81,31.73,33.00
13.49,13.79,9.46,18.01,9.27,22.01,24.36,24.95,30.78,25.40,33.85,32.02,32.11
12.46,12.86,4.54,18.65,10.57,17.00,25.84,22.52,27.39,25.44,33.42,32.69,30.96
13.10,13.45,14.16,16.61,10.90,17.22,24.09,20.50,26.94,25.80,31.84,33.73,35.22
14.43,13.02,7.25,18.19,11.64,17.85,25.35,22.71,28.09,24.71,32.22,33.96,29.91
9.54,11.70,13.10,16.18,13.22,20.77,25.36,28.10,29.56,25.73,31.65,33.83,30.61
5.22,5.11,14.06,16.72,13.86,16.75,23.77,23.97,26.89,24.82,31.66,33.59,34.36
13.02,4.84,5.70,10.28,9.86,16.28,24.01,23.41,24.53,28.15,31.91,32.00,34.33
6.93,8.36,5.05,7.55,13.48,15.98,25.38,23.33,15.90,29.22,31.42,32.35,33.31
13.94,4.61,14.75,17.12,12.53,16.29,26.41,23.86,24.35,27.51,31.60,28.28,32.10
7.09,14.47,11.91,6.90,20.18,22.23,20.67,21.41,11.49,28.73,32.31,33.40,34.21
13.07,14.40,14.35,12.54,10.63,15.94,23.02,26.70,10.97,28.22,30.93,32.54,32.21
9.62,14.02,13.80,19.04,10.90,18.59,20.99,24.40,26.31,29.77,31.93,32.79,32.04
7.24,7.33,13.99,19.00,14.90,16.12,24.36,26.02,27.46,31.10,34.42,33.69,34.05
4.03,5.72,14.45,7.49,14.96,16.24,20.43,22.26,28.31,26.24,31.79,32.62,34.40
4.57,13.34,13.34,16.01,10.38,14.56,21.32,23.00,28.41,28.84,34.23,31.13,32.67
12.97,13.13,5.42,18.57,9.94,15.97,22.28,26.14,28.17,30.43,30.09,32.48,30.35
12.94,12.57,14.03,16.22,18.44,16.50,23.42,26.78,28.92,27.36,32.04,32.82,30.68
12.93,13.98,15.10,11.99,12.68,14.91,20.51,26.01,29.50,28.37,31.77,32.46,32.65
11.71,5.42,11.52,8.36,19.59,15.66,25.85,25.55,25.45,31.65,32.91,29.70,31.54
13.22,5.46,5.06,19.53,12.34,14.04,23.59,26.01,28.80,29.47,31.54,30.97,34.73
7.79,8.16,13.39,17.47,18.26,15.72,23.48,24.50,29.30,27.56,31.92,33.22,33.42
7.78,14.64,10.67,12.95,19.70,23.11,22.68,24.03,26.13,24.89,33.97,32.07,33.23
4.52,13.94,5.59,13.10,19.28,17.55,22.46,23.90,26.94,25.14,31.72,33.08,33.80
8.93,9.74,5.37,12.51,11.38,17.20,22.76,22.94,27.73,24.55,31.32,29.84,32.74
14.17,5.02,9.67,6.99,12.90,15.06,25.84,20.92,12.20,30.22,31.85,31.33,32.85
4.44,14.25,7.10,10.88,12.64,19.74,20.68,22.70,27.17,26.63,32.72,33.75,31.68
9.29,13.56,14.46,14.54,13.16,14.76,22.17,22.57,10.94,28.61,30.63,33.77,31.39
9.96,13.74,11.75,13.73,19.55,18.54,22.91,25.65,26.90,27.22,33.25,34.07,33.77
9.17,15.17,12.75,12.74,8.79,14.54,24.61,22.96,26.50,23.67,36.08,33.91,33.16
6.80,4.81,13.22,13.33,8.16,28.35,23.65,21.17,24.49,28.83,31.70,32.30,33.21
8.89,5.67,4.40,13.92,10.90,14.60,23.00,20.84,27.57,29.94,33.71,34.41,32.78
