"emacs -q",emacs,"vim.gtk3","vim.gtk","vim.athena",gedit
6.11,5.68,21.52,3.65,2.77,6.68
1.65,0.97,20.70,2.29,12.67,11.71
4.54,2.96,21.10,0.89,3.14,12.20
6.18,6.54,20.02,4.37,3.42,12.68
3.37,7.06,1.25,4.61,3.14,11.41
5.78,6.97,20.14,2.09,3.21,11.86
4.82,4.92,19.71,1.91,2.95,6.30
5.25,5.19,21.68,1.81,1.98,7.28
3.49,5.93,3.89,4.36,1.13,12.09
3.94,6.87,1.03,4.49,3.03,14.22
4.91,6.87,20.47,3.07,2.39,13.54
4.97,6.66,20.68,4.15,3.45,11.93
5.93,5.75,20.48,1.00,3.30,7.23
5.24,5.50,20.97,1.18,2.79,7.30
5.60,4.88,19.87,4.77,3.41,13.17
3.39,28.17,20.52,4.80,3.40,12.44
4.97,6.48,19.70,4.39,3.02,13.02
5.70,7.38,18.90,3.01,2.88,13.09
4.91,7.93,19.93,4.28,3.87,12.20
5.17,3.56,20.57,2.76,2.12,13.08
4.20,6.41,20.14,5.08,1.90,12.19
5.61,6.03,1.26,4.81,0.81,7.95
5.12,6.81,19.83,0.97,3.37,12.78
5.35,4.62,20.93,2.18,2.67,12.19
5.33,7.56,21.18,4.82,3.62,13.11
5.19,5.65,21.02,4.32,3.66,13.80
5.01,5.08,21.27,3.30,2.58,11.99
5.08,7.77,21.69,4.05,2.07,12.34
5.15,5.42,19.52,3.76,0.95,5.18
7.05,5.57,20.43,4.38,9.74,2.97
4.23,5.90,21.88,4.21,1.63,4.09
5.37,5.44,19.60,4.37,4.18,3.92
5.13,7.01,21.68,4.70,3.18,3.00
5.17,2.81,20.16,4.24,1.79,4.27
5.60,6.91,21.01,3.87,2.66,4.84
4.86,7.32,21.05,5.00,3.34,3.93
5.30,7.22,22.39,4.15,2.09,6.98
5.24,6.67,27.22,2.49,3.53,3.77
6.41,4.03,20.10,3.97,3.25,3.07
5.07,4.88,20.78,4.43,3.35,4.10
5.58,5.45,20.69,3.53,2.61,3.85
5.11,5.33,21.46,2.59,3.39,3.73
5.50,7.53,22.85,4.46,3.61,3.66
5.54,5.14,2.30,4.22,3.40,3.60
5.08,5.78,19.49,2.43,3.14,3.68
5.58,7.27,26.89,11.90,3.68,4.03
5.76,7.28,21.90,4.78,3.51,4.20
5.58,6.80,1.58,4.16,3.76,8.64
5.05,3.81,22.13,4.66,2.90,7.26
5.79,5.45,1.11,3.78,3.47,4.05
4.53,5.52,21.73,4.26,3.57,4.44
3.99,1.02,19.52,2.89,3.10,4.15
4.43,6.81,2.65,4.28,3.37,3.71
4.23,5.50,3.16,1.22,3.23,3.22
5.27,5.36,20.91,4.85,3.11,3.97
5.40,7.33,20.56,4.68,2.86,3.78
1.00,7.13,3.44,3.81,0.89,4.34
0.97,3.50,20.12,3.41,2.99,5.06
